date;echantillon;confirme
02/04/2020;81;4
03/04/2020;226;24
04/04/2020;224;27
05/04/2020;224;16
06/04/2020;224;62
07/04/2020;224;26
08/04/2020;125;35
09/04/2020;247;60
10/04/2020;192;36
11/04/2020;224;53
12/04/2020;224;41
13/04/2020;224;79
14/04/2020;129;12
15/04/2020;238;16
16/04/2020;298;34
17/04/2020;296;54
18/04/2020;361;59
19/04/2020;399;46
20/04/2020;351;32
21/04/2020;224;37
22/04/2020;342;36
23/04/2020;504;52
24/04/2020;584;73
25/04/2020;302;34
26/04/2020;224;39
27/04/2020;289;14
28/04/2020;179;19
29/04/2020;512;55
30/04/2020;385;37
01/05/2020;416;58
02/05/2020;435;29
03/05/2020;270;36
04/05/2020;482;34
05/05/2020;170;32
06/05/2020;497;52
07/05/2020;367;55
08/05/2020;456;31
09/05/2020;573;65
10/05/2020;322;33
11/05/2020;499;30
12/05/2020;506;127
13/05/2020;592;55
14/05/2020;680;59
15/05/2020;728;46
16/05/2020;845;44
17/05/2020;790;48
18/05/2020;305;10
19/05/2020;566;34
20/05/2020;840;78
21/05/2020;1055;70
22/05/2020;1164;40
23/05/2020;727;25
24/05/2020;484;10
25/05/2020;873;47
26/05/2020;782;54
27/05/2020;425;79
28/05/2020;497;85
29/05/2020;527;109
30/05/2020;357;49
31/05/2020;134;34
01/06/2020;611;118
02/06/2020;470;73
03/06/2020;402;86
04/06/2020;706;152
05/06/2020;628;169
06/06/2020;756;126
07/06/2020;937;182
08/06/2020;800;142
09/06/2020;515;114
10/06/2020;612;186
11/06/2020;726;223
12/06/2020;907;280
13/06/2020;756;164
14/06/2020;848;236
15/06/2020;870;355
16/06/2020;984;240
17/06/2020;1214;384
18/06/2020;1592;381
19/06/2020;1632;430
20/06/2020;1155;402
21/06/2020;922;216
22/06/2020;844;185
