city;Confirmed;Recovered;Deaths
Zuenoula;0;0;0
Zoukougbeu;0;0;0
Zouan-Hounien;3;0;0
Zikisso;0;0;0
Yamoussoukro;4;4;0
Yakasse-Attobrou;0;0;0
Worofla;0;0;0
Vavoua;0;0;0
Transua;0;0;0
Toumodi;0;0;0
Toulepleu;1;1;0
Touba;0;0;0
Tortiya;0;0;0
Tioroniaradougou;0;0;0
Tienko;0;0;0
Tieningboue;0;0;0
Tie-N'diekro;0;0;0
Tiemelekro;0;0;0
Tieme;0;0;0
Tiebissou;0;0;0
Tiassale;1;0;0
Tiapoum;0;0;0
Tengrela;0;0;0
Tehini;0;0;0
Tanda;0;0;0
Tafiere;0;0;0
Tabou;0;0;0
Taabo;0;0;0
Taï;0;0;0
Soubre;1;0;0
Songon;0;0;0
Sirasso;0;0;0
Sipilou;0;0;0
Sinfra;1;0;0
Sinematiali;0;0;0
Sikensi;0;0;0
Sifie;0;0;0
Seydougou;0;0;0
Seguelon;0;0;0
Seguela;0;0;0
Satama-Sokoura;0;0;0
Sassandra;2;0;0
Sarhala;0;0;0
Santama-Sokoro;0;0;0
San-Pedro;7;0;0
Sangouine;0;0;0
Sandegue;0;0;0
Samatiguila;0;0;0
Sakassou;0;0;0
Saioua;0;0;0
Rubino;0;0;0
Prikro;0;0;0
Ouragahio;0;0;0
Oume;0;0;0
Ouelle;0;0;0
Ouaninou;0;0;0
Ouangolodougou;0;0;0
Odienne;0;0;0
Niofoin;0;0;0
Nielle;0;0;0
Niakarmadougou;0;0;0
Niable;0;0;0
Nassian;0;0;0
Napieoledougou;0;0;0
Morondo;0;0;0
Minignan;0;0;0
Meagui;0;0;0
M'bengue;0;0;0
M'batto;0;0;0
M'Bahiakro;0;0;0
Massala;0;0;0
Mankono;0;0;0
Man;1;0;0
Mafere;0;0;0
Madinani;0;0;0
Logouale;0;0;0
Lakota;0;0;0
Kouto;0;0;0
Koun-Fao;0;0;0
Kounahiri;0;0;0
Koumbala;0;0;0
Kouibly;0;0;0
Kouassikro;0;0;0
Kouassi-Datekro;0;0;0
Koro;0;0;0
Korhogo;2;0;0
Koonan;0;0;0
Kongasso;0;0;0
Kong;0;0;0
Komborodougou;0;0;0
Kolia;0;0;0
Kokoumbo;0;0;0
Katiola;0;0;0
Kassere;0;0;0
Karakoro;0;0;0
Kaniasso;0;0;0
Kani;0;0;0
Kanakono;0;0;0
Jacqueville;1;0;0
Issia;0;0;0
Hire;0;0;0
Guitry;0;0;0
Guinteguela;0;0;0
Guiglo;0;0;0
Guiembe;0;0;0
Guiberoua;0;0;0
Gueyo;0;0;0
Grand-Zattry;0;0;0
Grand-Lahou;0;0;0
Grand-Bereby;0;0;0
Grand-Bassam;7;0;0
Grabo;0;0;0
Goulia;0;0;0
Gohitafla;0;0;0
Gnamangui;0;0;0
Gnamangui;0;0;0
Gbonne;0;0;0
Gbongaha;0;0;0
Gbon;0;0;0
Gboguhe;0;0;0
Gbeleban;0;0;0
Gagnoa;2;0;0
Fronan;0;0;0
Fresco;0;0;0
Foumbolo;0;0;0
Ferkessedougou;0;0;0
Facobly;0;0;0
Ettrokro;0;0;0
Duekoue;5;0;0
Dualla;0;0;0
Doropo;0;0;0
Djibrosso;0;0;0
Djebonoua;1;0;0
Divo;0;0;0
Dioulatiedougou;0;0;0
Dimbokro;1;0;0
Dikodougou;0;0;0
Diegonefla;0;0;0
Didievi;0;0;0
Diawala;0;0;0
Dianra;0;0;0
Diabo;0;0;0
Dapeoua;0;0;0
Daoukro;0;0;0
Danane;0;0;0
Daloa;1;0;0
Dabou;1;0;0
Dabakala;0;0;0
Buyo;1;0;0
Brobo;0;0;0
Boundiali;0;0;0
Bouna;0;0;0
Bouake;4;0;0
Bouafle;1;0;0
Botro;0;0;0
Borotou;0;0;0
Booko;0;0;0
Bonoua;0;0;0
Bonon;0;0;0
Bonieredougou;0;0;0
Bongouanou;1;0;0
Bondoukou;0;0;0
Bodokro;0;0;0
Bocanda;0;0;0
Blolequin;0;0;0
Bin-Houye;0;0;0
Bingerville;253;0;0
Biankouma;0;0;0
Bettie;0;0;0
Beoumi;0;0;0
Bediala;0;0;0
Bassawa;0;0;0
Bangolo;0;0;0
Bako;0;0;0
Azaguie;0;0;0
Ayame;0;0;0
Attiegoukaro;0;0;0
Assuefry;0;0;0
Arrah;0;0;0
Anyama;0;0;0
Alepe;0;0;0
Akoupe;2;0;0
Agou;0;0;0
Agnibilekro;0;0;0
Agboville;2;0;0
Affery;0;0;0
Adzope;0;0;0
Adiake;1;0;0
Aboisso;1;0;0
Abidjan;1046;622;15
Abengourou;0;0;0
